TIME,Window State,iTemperature,iHumidity,ieCO2,iTVOC,iPM1.0,iPM10,iPM2.5,oTemperature,oHumidity,oeCO2,oTVOC,oPM1.0,oPM10,oPM2.5,Target
2024-03-08 09:00:00+00:00,1,19.304000000000002,47.0,1375.0,147.8,1.0,3.0,3.0,9.38,70.22200000000001,3595.6,4122.0,18.0,39.0,36.0,0
2024-03-08 09:05:00+00:00,1,19.396,46.86800000000001,1448.8,159.4,1.0,4.0,4.0,10.382000000000001,66.518,3695.6,4339.0,18.0,45.0,37.0,0
2024-03-08 09:10:00+00:00,1,19.468,46.983999999999995,1499.6,169.8,0.0,5.0,4.0,11.272,63.958000000000006,3609.2,4154.4,18.0,40.0,34.0,0
2024-03-08 09:15:00+00:00,1,19.548,46.982,1509.2,177.4,1.0,4.0,3.0,11.556000000000001,61.412,3624.2,4183.0,17.0,36.0,31.0,0
2024-03-08 09:20:00+00:00,1,19.63,46.96249999999999,1515.25,182.0,0.0,5.0,4.0,12.176,59.998000000000005,3621.0,4174.2,18.0,35.0,32.0,0
2024-03-08 09:25:00+00:00,1,19.842,46.926,1508.0,177.2,0.0,6.0,5.0,12.464,58.95200000000001,3630.8,4194.0,19.0,33.0,32.0,0
2024-03-08 09:30:00+00:00,1,19.894,46.766,1510.4,178.2,0.0,6.0,5.0,12.844,57.922000000000004,3588.4,4103.8,19.0,38.0,35.0,0
2024-03-08 09:35:00+00:00,1,19.97,46.882,1515.2,181.8,0.0,5.0,4.0,12.972,58.28000000000001,3548.6,4022.4,19.0,37.0,34.0,0
2024-03-08 09:40:00+00:00,1,20.026,46.866,1524.0,187.8,0.0,4.0,4.0,13.41,56.284000000000006,3595.2,4124.6,19.0,37.0,34.0,0
2024-03-08 09:45:00+00:00,1,20.107999999999997,46.78,1524.0,188.2,0.0,3.0,3.0,13.79,56.2925,3557.25,4040.5,18.0,36.0,33.0,0
2024-03-08 09:50:00+00:00,1,20.166,46.664,1537.4,197.6,0.0,4.0,4.0,14.302000000000001,55.028,3466.6,3849.2,18.0,35.0,33.0,0
2024-03-08 09:55:00+00:00,1,20.228,46.688,1548.4,205.6,0.0,4.0,4.0,13.657999999999998,55.45399999999999,3519.6,3963.2,19.0,40.0,34.0,0
2024-03-08 10:00:00+00:00,1,20.316,47.114,1538.2,197.8,0.0,5.0,4.0,12.25,58.072,3652.6,4246.6,20.0,42.0,36.0,0
2024-03-08 10:05:00+00:00,1,20.4,47.298,1545.6,204.2,0.0,3.0,3.0,10.522,63.28399999999999,3768.8,4488.4,19.0,41.0,35.0,0
2024-03-08 10:10:00+00:00,1,20.490000000000002,47.414,1549.8,206.6,0.0,4.0,4.0,9.453999999999999,65.446,3877.6,4745.2,19.0,41.0,34.0,0
2024-03-08 10:15:00+00:00,1,20.576,47.464,1563.2,217.2,0.0,4.0,3.0,9.066,67.762,3745.2,4439.8,20.0,40.0,34.0,0
2024-03-08 10:20:00+00:00,1,20.654,47.29200000000001,1573.0,224.4,0.0,3.0,3.0,8.687999999999999,68.604,3716.2,4382.8,20.0,44.0,39.0,0
2024-03-08 10:25:00+00:00,1,20.721999999999998,47.346000000000004,1575.6,225.6,0.0,3.0,3.0,8.372,70.096,3707.4,4361.8,19.0,42.0,34.0,0
2024-03-08 10:30:00+00:00,1,20.79,47.45,1607.8,255.2,0.0,4.0,4.0,8.006,72.93599999999999,3623.0,4178.6,18.0,40.0,34.0,0
2024-03-08 10:35:00+00:00,1,20.881999999999998,47.465999999999994,1709.2,347.8,1.0,3.0,3.0,7.712000000000001,75.07000000000001,3508.4,3936.0,21.0,45.0,38.0,0
2024-03-08 10:40:00+00:00,1,20.951999999999998,47.474000000000004,1723.0,360.0,1.0,4.0,4.0,7.552000000000001,75.696,3421.8,3756.0,21.0,46.0,38.0,0
2024-03-08 10:45:00+00:00,1,21.029999999999994,47.598,1716.4,354.0,0.0,4.0,3.0,7.646000000000001,74.78999999999999,3403.4,3719.6,22.0,47.0,40.0,0
2024-03-08 10:50:00+00:00,1,21.088,47.392,1711.2,349.0,0.0,5.0,3.0,7.433999999999999,76.048,3338.2,3574.8,22.0,51.0,40.0,0
2024-03-08 10:55:00+00:00,1,21.15,47.542,1707.0,346.4,1.0,7.0,4.0,7.33,76.398,3292.8,3477.2,20.0,50.0,40.0,0
